Frame,cid,gid,pred_x,pred_y,gt_x,gt_y,dx,dy,model
35,1,16,-1.4252438583807832,173.94731813638094,-1.75,174.95854167720074,-0.32475614161921684,1.011223540819799,1
35,2,15,-8.61084508348475,185.26502475993502,-8.75,185.2262560160923,-0.1391549165152508,-0.03876874384272355,0
36,1,16,-1.614445917150182,173.02433910469094,-1.75,173.45512223504787,-0.13555408284981807,0.4307831303569287,1
36,2,19,-5.477107226913581,177.31585267088056,-5.249999999999999,177.43783564934768,0.22710722691358232,0.12198297846711625,1
37,1,16,-1.9411360820902748,171.74352194968142,-1.7500000000000002,171.95564242842477,0.19113608209027455,0.21212047874334417,1
37,2,19,-5.198846642806043,175.80680370097036,-5.25,176.0456011505912,-0.051153357193957305,0.23879744962084715,1
37,3,15,-8.511452967547129,182.15875210686912,-8.750000000000004,182.7977351304619,-0.23854703245287467,0.6389830235927718,0
38,1,19,-5.243714855757789,173.895997571957,-5.25,174.65515532477372,-0.00628514424221116,0.7591577528167193,1
38,2,15,-8.431321727932094,181.30115423290704,-8.749999999999998,181.57658694267175,-0.31867827206790444,0.2754327097647149,0
39,1,16,-1.862289032386858,169.47609309655695,-1.75,168.96218273011698,0.11228903238685795,-0.5139103664399727,1
39,2,19,-5.376889542916921,172.99614734632334,-5.25,173.25732556140926,0.12688954291692056,0.2611782150859199,1
39,3,15,-8.098679684141645,180.0324521745273,-8.749999999999998,180.36472234608144,-0.6513203158583529,0.33227017155414273,0
40,1,16,-1.9398217981942572,167.95353081022952,-1.7500000000000002,167.46786680087982,0.18982179819425693,-0.4856640093497049,1
40,2,19,-5.457774720401359,172.866118257658,-5.25,173.25732556140926,0.2077747204013587,0.39120730375125845,1
40,3,15,-8.051034540137103,178.22373864490595,-8.750000000000002,179.14445283235204,-0.6989654598628992,0.9207141874460945,0
41,1,15,-8.099964841774934,178.49670099569144,-8.750000000000002,177.92999474496045,-0.6500351582250676,-0.5667062507309879,0
41,2,19,-5.205015428487448,171.87729177351278,-5.250000000000001,170.46938920421067,-0.044984571512553195,-1.4079025693021094,1
42,1,16,-1.9370654855361737,164.10127491374826,-1.75,164.46048157536202,0.18706548553617375,0.3592066616137686,1
