帧号,车辆ID,速度(m/s),距离(m),角度(deg)
126,250,12.777820807416068,56.01011800275331,-5.378404363247225
126,251,13.890232408423245,29.061976858337115,-17.52252333430931
126,253,-12.172117445070619,183.1072689087118,0.5475978164565273
126,254,-11.418879426354573,184.4111450007971,2.7196099000039364
126,255,-13.63747651808226,180.64036256445155,1.6654373418509594
127,248,14.4300166740004,68.528858756758,-7.335747242339618
127,249,13.84898862140943,60.67465034629198,-1.6527746032304564
127,250,12.744667177920714,57.28430858153895,-5.258430143284293
127,251,13.906420743514001,30.44800630148178,-16.70087441703924
127,253,-12.212032727592181,181.88606187823862,0.5512745735654594
127,254,-11.43025464136706,183.26811763199728,2.736584741109221
127,255,-13.796577893633433,179.26070667061404,1.678258809135986
128,248,14.370984528687913,69.96559323743861,-7.1843056587619145
128,249,13.784533855816095,62.05294233544334,-1.61605406976831
128,250,12.702681204967243,58.55429964934007,-5.144068564817683
128,251,14.087060903190483,31.852646312458845,-15.944282951448264
128,253,-12.118249083439316,180.67422782988447,0.5549722460546693
128,254,-11.421386596560097,182.1259672767048,2.753759626478896
128,255,-13.996475586747973,177.8610419246732,1.6914695698721063
129,248,14.347412231969065,71.40000673710034,-7.039236014903619
129,249,13.835131506653248,63.43630106452883,-1.5808036496292073
129,250,12.732643748600283,59.82731995426815,-5.034326165898131
129,251,14.070493753020008,33.256181586452946,-15.254618280938077
129,253,-12.126326025115628,179.46159529483182,0.5587223445727091
129,254,-11.318450293681254,180.99410043347277,2.7709939673544253
129,255,-14.184643550704887,176.4425663748891,1.7050718087198315
130,248,14.463050960400045,72.84599957863934,-6.898821014017985
130,249,13.76416407747528,64.81257543375891,-1.5472275377504683
130,250,12.766533351026336,61.10373315092827,-4.928899713449887
130,251,14.177148822220165,34.67077767345621,-14.618033002322937
130,253,-12.122111207340607,178.2493691948978,0.5625221868991043
130,254,-11.398786735702988,180.99410043347277,2.7709939673544253
130,255,-14.36906281790762,175.00564732434626,1.7190758289171715
131,248,14.471405663854933,74.29284198809113,-6.76383351382426
131,249,13.763450741420304,66.18878820520733,-1.5150496410205743
131,250,12.71750108785536,62.375268217014124,-4.828181880264253
