Frame,V,R,A,SNR_db,X,Y,Label
81,-1.028682408707862,28.0,52.08179734355447,0.5407226729240524,17.03051727102023,21.86233019331383,1
81,-0.8229459269662911,25.5,46.23825730732021,19.478745016744853,17.419014550233157,18.188675930335492,2
81,-0.7543670997191008,28.0,51.05755873101863,1.9786936886052429,17.418593726458152,21.554410049746032,1
81,-0.6172094452247165,25.5,46.23825730732021,17.709710008306708,17.419014550233157,18.188675930335492,2
81,-0.4800517907303359,23.0,40.961788552349375,5.3858307358980415,17.103703302696367,14.848007722699144,3
81,-0.20573648174157103,23.0,40.961788552349375,15.426730970778605,17.103703302696367,14.848007722699144,3
81,0.0,23.0,40.12403459351642,11.570940154310865,17.31896840653815,14.596346574856787,3
81,0.2057364817415745,23.0,40.12403459351642,7.974030544362176,17.31896840653815,14.596346574856787,3
81,0.8229459269662946,23.0,39.296480239187495,16.00319208660093,17.527977635768483,14.344685427014422,3
81,1.2344188904494402,23.0,38.47859513329794,16.032605365463862,17.730952221092544,14.093024279172067,3
81,1.3715765449438209,23.5,36.86989764584403,13.189005987170704,18.525657883055057,13.894243412291296,3
82,-2.057364817415728,30.0,54.204632456312396,38.07081634230479,17.390092255131236,24.116067078983352,-1
82,-1.6458918539325822,28.0,52.08179734355447,-14.10428634745392,17.03051727102023,21.86233019331383,1
82,-1.3715765449438173,25.5,47.166571933932765,3.0993187578740065,17.12204556834388,18.468501713879114,2
82,-0.9601035814606718,25.5,47.166571933932765,5.721039033140718,17.12204556834388,18.468501713879114,2
82,-0.8915247542134814,26.0,46.23825730732021,7.633255768467326,17.769095101910523,18.554224835849638,2
82,-0.8915247542134814,28.0,53.13010235415599,7.499342422102152,16.627687752661217,22.170250336881633,1
82,-0.6857882724719069,28.0,53.13010235415599,18.321041523469823,16.627687752661217,22.170250336881633,1
82,-0.5486306179775262,25.5,45.325390435616455,13.173491581845967,17.706583137910965,17.90885014679187,2
82,-0.3428941362359516,25.0,46.23825730732021,5.121888054135498,17.06876072222563,17.822946092254433,2
82,-0.3428941362359516,28.0,51.05755873101863,3.7965976800291092,17.418593726458152,21.554410049746032,1
82,-0.1371576544943806,28.0,50.05549481018514,7.1940547355459135,17.792882472119754,21.246489906178233,1
82,-0.0685788272471903,25.5,46.23825730732021,10.178320828301338,17.419014550233157,18.188675930335492,2
82,0.0685788272471938,28.5,49.07393669039544,4.845430730662407,18.485112461547253,21.320192712167273,1
82,0.2057364817415745,28.5,50.05549481018514,12.281621534392093,18.11717263936192,21.63372495793445,1
82,0.4114729634831491,23.0,40.12403459351642,11.52108863268538,17.31896840653815,14.596346574856787,3
82,0.5486306179775298,23.0,40.12403459351642,8.750903022852922,17.31896840653815,14.596346574856787,3
82,0.8229459269662946,23.0,39.296480239187495,16.718618268493707,17.527977635768483,14.344685427014422,3
82,1.5773130266853954,23.5,38.47859513329794,12.198264077888648,18.12829791197136,14.408845020153935,3
82,1.7144706811797759,23.0,37.66988696432964,5.750785909559309,17.928097128994658,13.841363131329711,3
82,2.2631012991573063,24.0,36.07819997184264,12.208492540337108,19.125834122050662,13.93565460019021,3
