帧号,车辆ID,速度(m/s),距离(m),角度(deg)
85,271,3.7666260845498556,25.11133655638898,33.908092910763266
85,272,1.2490028240029092,26.848902696440742,43.26656386013647
85,275,-5.067500679589417,222.92618177683204,-8.058930366310497
85,276,-5.126602722901114,222.50931731979435,-7.137035223610536
85,277,-4.972873520160806,223.8753256702617,-6.280539969368659
86,270,1.6217349351117605,29.607654514448168,46.732920492146015
86,271,4.565836997951635,25.52956685952218,32.27047190716551
86,272,1.85804113065997,27.004442565716992,41.99778300162687
86,275,-5.272139755672982,222.3989456187922,-8.04227864116681
86,276,-5.3783021651118865,221.97146993405667,-7.117743517418669
86,277,-5.104699498693915,223.36483413393498,-6.260345763553113
87,270,2.2664487947956853,29.80254350009381,45.3438293391183
87,271,5.277709705009812,26.021288415907147,30.620647924729422
87,272,2.4665882542455617,27.2212186541508,40.65267261080403
87,275,-5.476744135617597,221.85126503416626,-8.02489619950604
87,276,-5.614550012123423,221.41000452416898,-7.0975031005945155
87,277,-5.310729698193516,222.83375348256433,-6.2392371795652535
88,270,2.8906030920879076,30.0605701154204,43.888985233177785
88,271,5.949689991241946,26.582497330649336,28.97685496126406
88,272,3.0417406663414637,27.49647805431282,39.25713498363737
88,275,-5.7208929637115515,221.27915816854917,-8.006645290974992
88,276,-5.797747357853533,220.83019830878396,-7.076491775264043
88,277,-5.553447123149974,222.27837575123326,-6.217053092631908
89,270,3.486394369680264,30.379231482763164,42.39027589561954
89,271,6.633589493748879,27.213933082476807,27.342852830593127
89,272,3.6024855744873547,27.828806328824065,37.82455394004791
89,275,-5.856848535025916,220.6934525285933,-7.987861114219218
89,276,-5.966502700421266,220.23353149562382,-7.054752100206615
89,277,-5.681204764726336,221.71023479715768,-6.1942421709614255
90,270,4.093394077487171,30.7593288667897,40.8526511376392
90,271,7.21137749746357,27.90558063690192,25.74793076171676
90,272,4.114629228608702,28.213750953620114,36.378366860642785
90,275,-5.991867296282126,220.094256399686,-7.968539316499267
90,276,-6.1227444877989,219.6212430589494,-7.032318477314037
90,277,-5.859310583150874,221.1242843024062,-6.170591243978427
91,270,4.6358960800764075,31.195089597850604,39.30610859307822
91,271,7.767592113271388,28.65504882130159,24.197392984091007
91,272,4.637395142893691,28.652017567881323,34.92002768974565
91,275,-6.125728669239733,219.48166304471354,-7.9486748455167655
91,276,-6.355820194604129,218.9856259006075,-7.00889526803731
91,277,-6.05137856573821,220.51911642206562,-6.14603036449765
92,270,5.157216401742563,31.684346872676784,37.76134613151425
92,271,8.265341729009746,29.45650385310871,22.701890285600943
92,272,5.141516893278661,29.14179307586782,33.460809000978415
