Frame,cid,gid,pred_x,pred_y,gt_x,gt_y,dx,dy,model
106,5,56,5.388218130207944,20.603144591934626,5.249999999443162,21.402650184544743,-0.1382181307647823,0.7995055926101173,2
106,6,58,8.148416409069826,16.257722137974426,8.749999999042005,16.7199161687404,0.6015835899721793,0.4621940307659749,1
106,7,57,9.005836359241282,33.76160488139946,8.749999996032782,33.11930757734838,-0.2558363632085001,-0.6422973040510769,0
107,1,64,-5.362824382403568,192.49844372879747,-5.249999997351134,193.1345035335503,0.1128243850524342,0.6360598047528185,1
107,3,55,1.4774088400838103,2.810264972963738,1.7500000005461431,5.85747103547543,0.2725911604623328,3.047206062511692,1
107,6,59,5.101667199925507,6.874523083872542,5.249999998247377,7.597804678902099,0.14833279832186985,0.7232815950295572,2
107,8,56,5.35828505908294,21.664330228436796,5.250000000518738,22.49804577812097,-0.1082850585642019,0.8337155496841753,2
107,9,58,8.154063320710573,17.44756505270476,8.749999998194443,18.066333215936414,0.5959366774838699,0.6187681632316533,1
107,10,57,8.86812454162946,35.023568548463835,8.750000001771188,34.49533759950495,-0.11812453985827176,-0.5282309489588854,0
108,1,64,-5.2975709124014685,191.49576691500894,-5.2500000013356205,192.032363707844,0.04757091106584799,0.5365967928350699,1
108,4,55,1.5865898243806273,4.5016286965671455,1.749999999423501,6.5325619161808435,0.16341017504287358,2.030933219613698,1
108,6,59,5.282751536080045,7.760727108241529,5.249999998545759,8.580871120860744,-0.03275153753428661,0.820144012619215,2
108,7,56,5.193493094127617,22.853821627851104,5.250000000898616,23.591734787672323,0.05650690677099934,0.7379131598212183,2
108,8,58,8.146027929275972,18.753354786447176,8.750000002805898,19.406297073680882,0.6039720735299259,0.6529422872337065,1
109,2,64,-5.155353549078752,190.4975485633207,-5.2500000017626745,190.92997438965332,-0.09464645268392236,0.4324258263326328,1
109,5,55,1.6282209513984476,5.7080795217711575,1.74999999936591,7.231592195682993,0.12177904796746253,1.5235126739118359,1
109,7,56,5.167471265732336,23.97321195080869,5.249999998816793,24.684006301936236,0.08252873308445707,0.7107943511275465,2
109,8,58,8.092862095712427,20.0067739299021,8.749999999758598,20.752516146139925,0.6571379040461718,0.7457422162378258,1
109,9,57,8.126920392787325,37.49805168339928,8.749999999696128,37.25439247869498,0.6230796069088029,-0.2436592047043007,0
110,2,64,-5.461119408641176,189.4874119723945,-5.250000000482618,189.83067662500758,0.21111940815855768,0.3432646526130725,1
110,4,63,7.264364150392926,7.361557953000142,8.749999997603895,6.433529210700909,1.4856358472109692,-0.928028742299233,0
110,6,55,1.7978201503863027,6.669064553924824,1.7500000006390526,7.961970288324601,-0.04782014974725013,1.2929057343997767,1
110,8,56,5.234697952086192,24.820734495612484,5.25000000064671,25.772684937717003,0.015302048560518422,0.9519504421045184,2
110,9,58,8.094642013380676,21.07510431435373,8.749999998972923,22.109999046733886,0.6553579855922465,1.034894732380156,1
110,10,57,7.756199534371879,39.009882890862805,8.749999997563409,38.63446993468018,0.9938004631915298,-0.3754129561826218,0
111,2,64,-5.573749210482637,187.93651974654594,-5.249999999735741,188.72109099333892,0.3237492107468958,0.7845712467929786,1
111,4,63,9.119083697032,6.958966190378027,8.749999999788823,7.604642060746933,-0.3690836972431768,0.6456758703689056,0
111,5,55,1.6612990289979601,6.794831684055039,1.749999999933936,8.703353810348597,0.08870097093597584,1.9085221262935583,1
111,7,59,5.710694465885143,10.861888382307695,5.2500000023820625,11.651457672100515,-0.4606944635030805,0.7895692897928193,2
111,8,56,5.375896620498354,25.58820422878356,5.250000000963391,26.86692609747999,-0.1258966195349629,1.2787218686964295,2
111,9,58,8.12961516801159,22.495492668170648,8.75000000046613,23.46038576695359,0.6203848324545405,0.9648930987829409,1
111,10,57,8.077360344905607,40.346884311249156,8.74999999693745,40.0162121503272,0.6726396520318438,-0.3306721609219565,0
112,1,62,-9.013989935454948,178.4921315126646,-8.75000000181626,179.55787880312306,0.2639899336386886,1.0657472904584608,2
112,2,64,-5.3888189270553575,186.5345095038997,-5.250000000040877,187.61591672709187,0.13881892701448084,1.0814072231921728,1
112,5,63,9.618297397921907,7.587806754527162,8.75000000191778,8.818451703281474,-0.8682973960041274,1.2306449487543114,0
