track_id,start_frame,end_frame,life_frames,num_observed_frames,num_missing_internal_gaps,main_gid,assigned_gt_switches,num_gt_switch_events,mean_raw_jump,mean_filtered_jump,mean_smoothing_gain,path_length_raw,path_length_filtered,mean_err_raw,mean_err_filtered,median_err_filtered,p90_err_filtered,max_err_filtered,mean_dx_filtered,mean_dy_filtered,mean_inside_ratio,center_mode
45,258,406,149,121,10,227,0,0,1.5585522294167675,1.1245602956957323,0.4339919337210354,187.0262675300121,134.94723548348787,0.9240217414481235,0.6782990645608942,0.5502104600805157,1.2946667524039204,2.337917762639198,0.026566423539502965,-0.22417297165264205,,bottom_half_length
33,241,385,145,101,25,220,0,0,1.3692689991228337,1.2268476369103491,0.14242136221248486,136.92689991228337,122.68476369103492,0.7209814527025743,0.5487157271812001,0.5046237608329334,0.9586186971905807,1.4046578463074646,0.18539649886990678,-0.1063228709454008,,bottom_half_length
44,258,393,136,75,20,217,0,0,0.7376512250126099,0.580614259883745,0.15703696512886497,54.58619065093313,42.96545523139714,0.91584952625225,0.9134435948547641,0.6510540167359921,1.9239304069366456,3.2948359704018624,0.27560215800761795,0.6208118068888802,,bottom_half_length
4,201,317,117,102,5,223,2,1,1.0859651153603893,0.797025472775421,0.28893964258496835,109.68247665139933,80.49957275031753,1.0474777839263627,0.9027079967018816,0.9034384874355318,1.336041057202832,3.661354545336474,-0.07151927893042742,0.33312794369073,,bottom_half_length
94,376,485,110,80,19,222,1,1,1.4419457568639422,0.9764866316241366,0.4654591252398058,113.91371479225144,77.1424438983068,1.3612300262963064,1.143505407253206,0.8438703943566339,2.278274821431463,3.3711829787873557,0.5406654103462415,-0.11972494360043062,,bottom_half_length
51,268,375,108,59,10,225,2,2,1.20871513692215,1.1557927219183048,0.05292241500384488,70.10547794148471,67.03597787126168,0.9943821435202875,0.9553997390871612,0.7600207704544832,1.7896193896082682,2.506974243529275,-0.587570432924601,-0.13093025234012948,,bottom_half_length
6,201,285,85,48,17,221,0,0,1.0341108929884761,1.0027989144193363,0.03131197856913966,48.603211970458375,47.13154897770881,0.38513374941095524,0.37867817476566606,0.38691506397225917,0.5145926090303194,0.6117457991468374,-0.14582830455014456,0.2559531992580412,,bottom_half_length
116,437,514,78,59,2,223,2,2,0.43842497085649257,0.38771754653223256,0.05070742432426002,25.428648309676568,22.48761769886949,1.0879285647299073,1.0724801461349536,0.8438855927945494,2.17919232577944,2.8767405987932215,-0.6722908312891243,-0.08020329149838429,,bottom_half_length
42,257,330,74,37,15,233,0,0,1.7215724504059757,1.3540190222873414,0.3675534281186342,61.976608214615126,48.74468480234429,1.7498930456342048,1.647761750344775,1.3937387700287278,2.772862873619431,3.6344360368796735,-0.6468658062450592,-1.3379853563027266,,bottom_half_length
62,296,366,71,51,10,222,0,0,1.0040646390976513,0.7014364044353055,0.302628234662346,50.20323195488256,35.07182022176528,1.1214758909351006,0.9917231452422967,0.7561281777915867,1.922342848618116,3.5309174270676467,-0.34139177363950257,-0.2008462575003445,,bottom_half_length
