帧号,速度(m/s),距离(m),角度(deg),SNR(dB)
102,13.029977176966298,28.5,-16.791447114588692,7.691402202622766
102,13.029977176966298,31.5,-16.791447114588692,20.69401942600141
102,13.16713483146068,30.5,-14.806506911897516,8.995006493719174
103,-11.75019906219588,186.0595390524968,2.6034142316909006,7.3105826216719505
103,-11.706999800937805,188.0601792573624,2.6946265931076465,10.177177113773393
103,-10.79981531451827,194.06209987195905,1.4288727962437768,17.817013058144717
103,-10.79981531451827,196.0627400768246,1.4288727962437768,18.367851836848214
103,-10.79981531451827,198.06338028169017,1.518620523723493,6.9599034774338255
103,-8.251058900291959,198.06338028169017,0.8025028888539831,6.971758377378322
103,-7.603069981420862,214.0685019206146,0.2673321658219647,9.255550902995251
103,-7.603069981420862,216.06914212548017,0.3564647352244676,8.696533523403913
103,0.0685788272471938,5.0,-27.100685348240205,-3.9145805896699577
103,0.2057364817415745,6.5,-40.1240345935164,5.544328157980618
103,0.2743153089887649,5.0,-27.100685348240205,-3.758029495206103
103,0.5486306179775298,4.5,-14.14900450893464,11.993417677900393
103,0.6857882724719104,6.5,-40.1240345935164,6.063223898228658
103,0.7543670997191043,4.5,-14.14900450893464,2.7233955243366488
103,0.9601035814606752,5.0,-19.471220634490688,0.2910604203166866
103,1.0972612359550595,7.0,-38.47859513329794,20.988782844438912
103,1.3029977176966303,6.5,-40.1240345935164,9.119550142457957
103,1.3715765449438209,7.5,-50.05549481018511,8.859505029879578
103,1.4401553721910147,5.0,-24.27465219458477,-6.713805797220339
103,1.5773130266853954,7.5,-50.05549481018511,11.680201966079212
103,1.8516283356741603,5.0,-22.88538047615857,-1.2182581507225634
103,2.0573648174157317,7.0,-45.32539043561643,-3.9621894019101527
103,2.331680126404496,6.0,-27.100685348240205,18.289112000588737
103,2.4002589536516865,7.0,-38.47859513329794,17.882095776325077
103,2.5374166081460707,5.5,-9.59406822686046,0.9769360690124472
103,2.5374166081460707,7.0,-40.96178855234937,14.155314882497375
103,2.6745742626404514,7.5,-37.66988696432964,11.707897494412729
103,2.9488895716292163,7.5,-36.07819997184263,11.478720073050049
103,3.086047226123597,6.0,-22.19610085682055,8.805305117208889
103,3.223204880617981,7.0,-40.96178855234937,9.178330738406062
103,3.4975201896067425,5.5,-11.536959032815483,4.633403929468476
103,3.5660990168539364,7.0,-40.1240345935164,18.234676698949983
103,3.8404143258426977,7.0,-39.2964802391875,1.9664098587903207
103,3.977571980337082,6.0,-11.536959032815483,-4.475490679783396
103,4.114729634831463,8.0,-36.07819997184263,11.083368386373964
103,4.183308462078653,6.0,-12.187474135425033,1.4435278130120224
103,4.320466116573037,7.5,-35.29439467666015,23.67281655164207
103,4.731939080056183,9.0,-43.54221902815587,-2.350219467446135
103,4.937675561797757,7.5,-32.98670708247892,10.647630954292202
103,5.143412043539328,8.0,-32.23095263550211,11.862811938231404
103,5.417727352528093,8.0,-32.23095263550211,14.7669611597917
103,8.983826369382026,18.5,-32.98670708247892,3.066874165499971
103,9.120984023876408,14.5,-35.29439467666015,18.692153237111505
103,9.25814167837079,14.5,-40.1240345935164,10.31048270758584
103,9.463878160112362,18.5,-30.000000000000004,9.993332519753912
103,9.806772296348315,14.0,-35.29439467666015,5.722920265262496
103,9.806772296348315,18.0,-20.827496932012146,-6.032943827922196
103,9.875351123595513,17.5,-19.471220634490688,-1.6088877414680995
103,10.012508778089892,14.0,-35.29439467666015,-2.062965138515331
103,10.081087605337082,20.0,-18.12620396055673,8.716517330556899
103,10.149666432584276,19.0,-17.457603123722087,13.514531599732171
103,10.218245259831464,18.0,-16.127620213160757,23.305359905459994
103,10.355402914325843,14.5,-32.98670708247892,15.690434369229251
103,10.904033532303371,16.0,-31.48143215916898,7.899953372656001
103,11.109770014044948,16.0,-30.000000000000004,23.023114375823184
103,11.246927668539328,16.5,-28.54036548487555,21.707423770648862
103,12.824240695224724,28.5,-18.797368824406544,-1.162230616407948
103,12.892819522471918,30.0,-18.12620396055673,6.333071121439536
103,12.961398349719104,31.5,-17.457603123722087,7.577089533524647
103,13.029977176966298,29.5,-15.466009953420548,-1.0695752265787355
103,13.029977176966298,33.0,-16.791447114588692,29.33342207593855
104,-12.138992413518537,208.06658130601795,2.149418304441804,10.398177895863212
104,-12.138992413518537,210.0672215108835,2.2399605578440918,6.92154318008294
104,-11.059010882066708,194.06209987195905,1.6084496402510429,10.161390372255608
104,0.3428941362359552,5.0,-11.536959032815483,19.1070187917568
104,0.891524754213485,5.0,-13.493398821551688,18.59531889756029
