Frame,gid,model,main_cluster,speed,range,angle,SNR,weight,u,X,Y,selected_for_measurement,V,R,A
201,221,2,6,5.143412044,26.0,,24.97516887,0.4690011481056257,0.0,5.1999999987481855,24.494080917907876,1,5.143412044,26.0,-11.53695903
201,223,1,2,-5.48630618,146.046735,,10.64808356,0.4690011481056257,0.0,-5.017174021736419,145.7925813235908,1,-5.48630618,146.046735,1.968681243
201,223,1,2,-5.48630618,148.04737519999998,,24.23406681,0.7418181818181818,0.33244292497071787,-5.3191177640382765,147.786103168809,1,-5.48630618,148.04737519999998,2.058993642
201,224,2,5,4.526202598,16.0,,26.89815347,0.4690011481056257,0.03766000496104193,6.044444445266521,13.056212749035867,1,4.526202598,16.0,-22.19610086
201,224,2,5,4.6633602530000005,15.5,,27.84009916,0.4690011481056257,0.0,4.99444444331594,12.895949934092894,1,4.6633602530000005,15.5,-18.79736882
201,224,2,5,4.800517907,16.0,,26.03600565,0.5128205128205128,0.12598008642505346,5.155555554390648,13.432060412520178,1,4.800517907,16.0,-18.79736882
201,224,2,5,4.869096735,17.0,,25.25016971,0.5251141552511416,0.4506754776930432,4.533333332355187,14.813807373452558,1,4.869096735,17.0,-15.46600995
201,225,0,1,-8.207859639,114.03649170000001,,7.667025649,0.4690011481056257,0.0,-8.497474559224775,113.50380771304326,1,-8.207859639,114.03649170000001,4.273378738
201,225,0,1,-8.207859639,116.03713190000002,,21.21269179,0.6825396825396826,0.24783072575450305,-8.64655305987162,115.50261079196794,1,-8.207859639,116.03713190000002,4.273378738
201,225,0,1,-8.207859639,118.03777209999998,,22.57219024,0.5251141552511416,0.4956457530931873,-8.795631560518462,117.5012872601111,1,-8.207859639,118.03777209999998,4.273378738
201,226,1,4,-2.721553459,184.0588988,,11.764713,0.4690011481056257,0.0,-1.717955081439808,183.9177176288538,1,-2.721553459,184.0588988,0.534790795
201,226,1,4,-2.721553459,186.0595391,,17.59906214,0.628695652173913,0.5000038236162557,-1.7366285071308576,185.91970366675136,1,-2.721553459,186.0595391,0.534790795
201,227,2,9,8.160880442,59.0,,5.545064437000001,0.628695652173913,0.5,7.866666666905411,58.05269636762619,1,8.160880442,59.0,-7.6622556610000006
201,231,0,3,-2.7647527210000002,196.06274009999998,,6.154705728,0.4690011481056257,0.0,-1.8299956309192442,195.92919428076806,1,-2.7647527210000002,196.06274009999998,0.534790795
202,218,2,7,5.280569698,35.0,,13.3890172,0.4690011481056257,0.0,5.055555555525098,33.91815676042847,1,5.280569698,35.0,-8.305109528
202,218,2,7,5.349148525,35.5,,13.59026078,0.4861111111111111,0.287223621411043,4.733333333476985,34.47963972483175,1,5.349148525,35.5,-7.6622556610000006
202,219,0,10,8.160880442,82.0,,8.587501045,0.628695652173913,0.5,9.111111110481307,81.19105649227916,1,8.160880442,82.0,-6.379370207999999
202,220,1,9,8.160880442,71.5,,5.051430627,0.628695652173913,0.5,8.738888888738918,70.61785766355615,1,8.160880442,71.5,-7.020370749
202,221,2,6,5.280569698,26.5,,23.54320829,0.4690011481056257,0.0,4.711111110571207,25.12081670853582,1,5.280569698,26.5,-10.24034832
202,223,1,3,-5.529505441,146.046735,,5.870346914,0.4690011481056257,0.0,-5.247237794448185,145.7844823693137,1,-5.529505441,146.046735,2.058993642
202,223,1,3,-5.529505441,148.04737519999998,,14.48371943,0.628695652173913,0.5010170314391218,-5.085902432804843,147.79431281363148,1,-5.529505441,148.04737519999998,1.968681243
202,224,2,5,4.800517907,16.0,,23.42263675,0.4690011481056257,0.0,4.799999999008472,13.56318546689968,1,4.800517907,16.0,-17.45760312
202,225,0,1,-8.207859639,114.03649170000001,,13.10579711,0.4690011481056257,0.0,-8.309626667394307,113.5177146699699,1,-8.207859639,114.03649170000001,4.178740295
