Frame,gid,model,side,n_roi,fit_ok,a,b,x_ref,y_gt,y_hat,y_error,abs_y_error
118,15,0,top,1,0,,,,,,,
118,16,1,top,1,0,,,,,,,
118,17,2,bottom,0,0,,,,,,,
118,18,0,bottom,0,0,,,,,,,
118,19,1,top,1,0,,,,,,,
118,20,2,bottom,1,0,,,,,,,
118,22,1,top,0,0,,,,,,,
119,15,0,top,0,0,,,,,,,
119,16,1,top,1,0,,,,,,,
119,17,2,bottom,1,0,,,,,,,
119,18,0,bottom,0,0,,,,,,,
119,19,1,top,1,0,,,,,,,
119,20,2,bottom,0,0,,,,,,,
119,22,1,top,0,0,,,,,,,
120,15,0,top,0,0,,,,,,,
120,16,1,top,1,0,,,,,,,
120,17,2,bottom,0,0,,,,,,,
120,18,0,bottom,0,0,,,,,,,
120,19,1,top,1,0,,,,,,,
120,20,2,bottom,0,0,,,,,,,
120,22,1,top,1,0,,,,,,,
120,25,1,top,0,0,,,,,,,
121,15,0,top,0,0,,,,,,,
121,16,1,top,1,0,,,,,,,
121,17,2,bottom,0,0,,,,,,,
121,18,0,bottom,0,0,,,,,,,
121,19,1,top,0,0,,,,,,,
121,20,2,bottom,0,0,,,,,,,
121,22,1,top,0,0,,,,,,,
121,25,1,top,0,0,,,,,,,
122,15,0,top,0,0,,,,,,,
122,16,1,top,1,0,,,,,,,
122,17,2,bottom,0,0,,,,,,,
122,18,0,bottom,0,0,,,,,,,
122,19,1,top,1,0,,,,,,,
122,20,2,bottom,0,0,,,,,,,
122,22,1,top,0,0,,,,,,,
122,25,1,top,1,0,,,,,,,
123,15,0,top,0,0,,,,,,,
123,16,1,top,1,0,,,,,,,
123,17,2,bottom,0,0,,,,,,,
123,18,0,bottom,0,0,,,,,,,
123,19,1,top,1,0,,,,,,,
123,20,2,bottom,0,0,,,,,,,
123,22,1,top,0,0,,,,,,,
123,25,1,top,0,0,,,,,,,
124,15,0,top,1,0,,,,,,,
124,16,1,top,1,0,,,,,,,
124,17,2,bottom,1,0,,,,,,,
124,18,0,bottom,0,0,,,,,,,
124,19,1,top,0,0,,,,,,,
124,20,2,bottom,1,0,,,,,,,
124,21,0,left,8,1,0.0,0.0,4.140000000000157,5.91221761997563e-07,0.0,-5.91221761997563e-07,5.91221761997563e-07
124,22,1,top,1,0,,,,,,,
124,25,1,top,0,0,,,,,,,
125,15,0,top,0,0,,,,,,,
125,16,1,top,1,0,,,,,,,
125,17,2,bottom,0,0,,,,,,,
125,18,0,bottom,0,0,,,,,,,
125,19,1,top,0,0,,,,,,,
125,20,2,bottom,0,0,,,,,,,
125,21,0,left,12,1,0.0,0.0,4.140000000000157,5.91221761997563e-07,0.0,-5.91221761997563e-07,5.91221761997563e-07
125,22,1,top,0,0,,,,,,,
125,25,1,top,0,0,,,,,,,
126,15,0,top,0,0,,,,,,,
126,16,1,top,1,0,,,,,,,
126,17,2,bottom,0,0,,,,,,,
126,18,0,bottom,0,0,,,,,,,
126,19,1,top,0,0,,,,,,,
126,20,2,bottom,0,0,,,,,,,
126,21,0,left,8,1,-1.4311897069119672,6.567659881625047,4.140000000000157,5.91221761997563e-07,0.6425344950092775,0.6425339037875155,0.6425339037875155
126,22,1,top,0,0,,,,,,,
126,25,1,top,0,0,,,,,,,
127,15,0,top,0,0,,,,,,,
127,16,1,top,1,0,,,,,,,
127,17,2,bottom,1,0,,,,,,,
127,18,0,bottom,0,0,,,,,,,
127,19,1,top,0,0,,,,,,,
127,20,2,bottom,0,0,,,,,,,
