Frame,gid,model,main_cluster,is_roi,u,u_bin
104,56,2,5,1,0.36800127055292325,7
104,56,2,5,0,1.0,19
104,57,0,7,1,0.03521354821811229,0
104,57,0,7,0,0.34917867203706715,6
104,57,0,7,1,0.0,0
104,57,0,7,0,0.23458797203186213,4
104,57,0,7,0,0.6854605481177567,13
104,57,0,7,0,1.0,19
104,57,0,7,0,0.7459307454516154,14
104,58,1,6,1,0.13847160761834895,2
104,58,1,6,1,0.0,0
104,58,1,6,1,0.32803562792684404,6
104,58,1,6,0,0.7080793479474702,14
104,58,1,6,0,1.0,19
104,59,2,4,0,5.1371617722681594e-08,0
104,59,2,4,0,1.4983388572760172e-08,0
104,59,2,4,0,0.0,0
104,59,2,4,1,0.37850897420171936,7
104,59,2,4,1,0.37850897420171936,7
104,59,2,4,0,2.5685808901518723e-08,0
104,59,2,4,1,0.17642100384461354,3
104,59,2,4,1,0.34074772041540813,6
104,59,2,4,0,1.0,19
104,59,2,4,0,0.6650816875109925,13
104,62,2,8,1,0.5,10
104,64,1,1,0,0.0,0
104,64,1,1,1,0.5000033610637281,10
104,64,1,1,0,1.0,19
104,69,0,2,0,1.0,19
104,69,0,2,0,0.0,0
104,69,0,2,1,0.4997779820170337,9
105,55,1,3,1,5.905618545444911e-08,0
105,55,1,3,1,0.0,0
105,55,1,3,1,5.905618545444911e-08,0
105,55,1,3,1,3.937079038507817e-08,0
105,55,1,3,1,9.842697633219988e-08,0
105,55,1,3,1,2.591910370917971e-07,0
105,55,1,3,1,0.6586053288489543,13
105,55,1,3,0,1.0,19
105,56,2,6,1,0.0,0
