Frame,gid,model,gt_x,gt_y,side_closest_to_x_axis,n_roi,hit,cid,n_cluster,r_t,q_t,p_tail,vr_mean,vr_std
83,17,2,1.7499999999999996,45.654509013626566,bottom,1,1,6.0,2,0.499999750000125,0.75,0.6749999250000374,13.612897208567421,0.03428941362359428
83,18,0,5.249999999999999,26.9862726149136,bottom,0,0,5.0,4,0.0,0.5,0.35,10.955467652738767,0.05686255963538403
83,19,1,-5.25,111.98548223340718,top,1,1,2.0,3,0.33333322222225925,0.5,0.44999996666667774,-13.910162125099532,0.0
83,20,2,8.750000000000002,27.905039987901706,bottom,1,1,4.0,4,0.24999993750001562,0.75,0.5999999812500046,10.681152343750002,0.07473204440925989
84,15,0,-8.749999999999998,125.58742167060096,top,0,0,2.0,4,0.0,0.2,0.13999999999999999,-12.128192598204018,0.018705828837106614
84,16,1,-1.75,101.51917042860833,top,0,0,6.0,1,0.0,0.2,0.13999999999999999,-14.903745134035216,0.0
84,17,2,1.75,47.030833774569736,bottom,1,1,5.0,2,0.499999750000125,0.8,0.7099999250000375,13.647186622191017,0.0
84,18,0,5.250000000000002,28.13712806833141,bottom,1,1,4.0,4,0.24999993750001562,0.6,0.49499998125000466,10.989757066362362,0.05686255963538336
84,19,1,-5.25,110.59563137084535,top,0,0,1.0,3,0.0,0.4,0.27999999999999997,-13.86696286384146,0.0
84,20,2,8.750000000000004,29.06389082899254,bottom,1,1,3.0,3,0.33333322222225925,0.8,0.6599999666666777,10.744016268726597,0.08553282518191506
85,15,0,-8.750000000000002,124.36995824483789,top,1,1,2.0,4,0.24999993750001562,0.2,0.2149999812500047,-12.138992413518537,0.0
85,16,1,-1.7499999999999996,100.01897584456046,top,0,0,5.0,1,0.0,0.2,0.13999999999999999,-14.990143656551359,0.0
85,17,2,1.75,48.40689243484808,bottom,0,0,4.0,2,0.0,0.6,0.42,13.647186622191017,0.0
85,18,0,5.25,29.280211764573163,bottom,0,0,3.0,3,0.0,0.4,0.27999999999999997,10.99547196863296,0.06465673838974624
85,19,1,-5.250000000000001,109.20471807286755,top,0,0,1.0,4,0.0,0.2,0.13999999999999999,-13.86696286384146,0.0
85,20,2,8.749999999999998,30.22391159069299,bottom,0,0,6.0,1,0.0,0.6,0.42,10.904033532303373,0.0
86,15,0,-8.75,123.14878296821898,top,0,0,2.0,5,0.0,0.2,0.13999999999999999,-12.18219167477661,0.0
86,16,1,-1.7500000000000002,98.52093360935145,top,0,0,,0,0.0,0.0,0.0,,
86,17,2,1.75,48.40689243484808,bottom,0,0,4.0,2,0.0,0.4,0.27999999999999997,13.544318381320231,0.034289413623596054
86,18,0,5.25,30.425762858007378,bottom,1,1,3.0,3,0.33333322222225925,0.4,0.3799999666666778,11.08691040496255,0.032328369194873544
86,19,1,-5.250000000000001,107.80711175367843,top,1,1,1.0,2,0.499999750000125,0.4,0.4299999250000375,-13.953361386357605,0.0
86,20,2,8.749999999999998,30.22391159069299,bottom,0,0,6.0,1,0.0,0.4,0.27999999999999997,10.904033532303373,0.0
87,15,0,-8.75,121.93253187870272,top,1,1,2.0,4,0.24999993750001562,0.4,0.35499998125000465,-12.138992413518537,0.0
87,16,1,-1.75,97.0210285812155,top,0,0,,0,0.0,0.0,0.0,,
87,17,2,1.7499999999999993,51.14540582812163,bottom,1,1,4.0,2,0.499999750000125,0.6,0.5699999250000375,13.612897208567421,0.03428941362359428
87,18,0,5.25,31.57506242973099,bottom,1,1,5.0,1,0.9999990000010001,0.6,0.7199997000003,11.041191186797755,0.0
87,19,1,-5.250000000000002,106.41337841143597,top,0,0,1.0,3,0.0,0.4,0.27999999999999997,-13.910162125099532,0.0
