甯у彿,杞﹁締ID,閫熷害(m/s),璺濈(m),瑙掑害(deg),Yaw(deg)
157,70,-11.78705942,159.5060385,3.144644933,-180
157,71,-10.76270988,170.272968,1.766871905,-180
157,72,-8.285474734,187.0684199,0.536002157,-180
158,55,8.204398988,47.283017,-2.121068539,-3.05E-05
158,56,10.92655966,79.02604565,-3.809181436,-3.05E-05
158,57,13.79325432,105.4262351,-4.760820985,-3.05E-05
158,58,13.68534609,88.55777343,-5.670393212,-3.05E-05
158,59,10.97305218,63.46139168,-4.745357813,-3.05E-05
158,60,8.011894635,29.92780534,-3.352228489,-3.05E-05
158,61,-8.191683314,154.731757,0.648023094,-180
158,62,-11.76950265,125.886519,3.985674041,-180
158,63,13.58243202,71.81306557,-6.998544132,-3.05E-05
158,64,-11.05984974,137.0986771,2.19459745,-180
158,65,10.91008805,46.55397299,-6.475153062,-3.05E-05
158,66,7.474380289,16.53116234,-6.076755972,-3.05E-05
158,67,-11.71435469,141.767051,3.538600261,-180
158,68,-10.94003136,152.5768799,1.971873008,-180
158,69,-8.280483103,171.7714172,0.583737099,-180
158,70,-11.91724523,158.3142951,3.168340963,-180
158,71,-10.80305746,169.1926574,1.778157155,-180
158,72,-8.27363619,186.2410511,0.538383397,-180
159,55,8.126629192,48.09551412,-2.0852205,-3.05E-05
159,56,10.96241226,80.12220188,-3.756992475,-3.05E-05
159,57,13.75783915,106.8019151,-4.699359643,-3.05E-05
159,58,13.74270085,89.93186771,-5.583476217,-3.05E-05
159,59,10.88607046,64.54981509,-4.665163909,-3.05E-05
159,60,7.997006277,30.7268851,-3.264955079,-3.05E-05
159,61,-8.24053142,153.9077005,0.651492905,-180
159,62,-11.68870395,124.7176107,4.023090757,-180
159,63,13.56534437,73.16929138,-6.868192029,-3.05E-05
159,64,-11.04709348,135.9939501,2.212433773,-180
159,65,10.87378524,47.64091298,-6.326810198,-3.05E-05
159,66,7.509632327,17.27852347,-5.812987131,-3.05E-05
159,67,-11.80623072,140.5863929,3.568356088,-180
159,68,-10.97534836,151.4793294,1.986166009,-180
159,69,-8.227929236,170.9486231,0.586546786,-180
159,70,-11.7783634,157.1364242,3.192114879,-180
159,71,-10.69860011,168.1227806,1.789476419,-180
159,72,-8.332709196,185.4077719,0.540803128,-180
160,55,8.237446538,48.91910119,-2.050099245,-3.05E-05
160,56,10.96324773,81.21843295,-3.706211819,-3.05E-05
160,57,13.75184586,108.1770051,-4.639492066,-3.05E-05
160,58,13.76055404,91.30776168,-5.499078899,-3.05E-05
160,59,10.90743535,65.64039696,-4.587487111,-3.05E-05
160,60,8.106681804,31.53696909,-3.181001396,-3.05E-05
160,61,-8.254917787,153.0821981,0.655006261,-180
160,62,-11.64816209,123.5527462,4.061084101,-180
160,63,13.64820555,74.53381492,-6.741863921,-3.05E-05
160,64,-11.08339087,134.8855869,2.230622629,-180
160,65,10.83311836,48.72381135,-6.185640141,-3.05E-05
160,66,7.495570529,18.02497412,-5.5714813,-3.05E-05
160,67,-11.65157276,139.4212016,3.598217182,-180
160,68,-11.00089559,150.3792313,2.00070168,-180
160,69,-8.276456069,170.1209729,0.589400477,-180
160,70,-11.88240662,155.9481731,3.216462765,-180
160,71,-10.78771512,167.0440005,1.801036759,-180
160,72,-8.312214625,184.5765415,0.543238678,-180
161,55,8.186736096,49.73762404,-2.016347091,-3.05E-05
161,56,10.99303927,82.31765988,-3.656653246,-3.05E-05
161,57,13.76094506,109.5530039,-4.581094202,-3.05E-05
161,58,13.73473171,92.68107978,-5.417349798,-3.05E-05
161,59,10.92814925,66.73304643,-4.512217195,-3.05E-05
161,60,8.0449891,32.34091653,-3.101848065,-3.05E-05
161,61,-8.292886026,152.2529104,0.658574091,-180
161,62,-11.67422499,122.3852759,4.09988996,-180
161,63,13.6366364,75.89719615,-6.620209399,-3.05E-05
161,64,-11.08327958,133.7772433,2.249112784,-180
161,65,10.7932153,49.80275286,-6.051126529,-3.05E-05
161,66,7.662847017,18.7884414,-5.344411469,-3.05E-05
161,67,-11.70436512,138.2507315,3.628721337,-180
161,68,-11.03762578,149.2754513,2.01550145,-180
161,69,-8.234694815,169.2974994,0.592267459,-180
161,70,-11.78979591,154.7691687,3.240991282,-180
161,71,-10.85928487,165.9580702,1.812825586,-180
161,72,-8.377306948,183.738814,0.545715562,-180
162,55,8.14279494,50.55176996,-1.983860345,-3.05E-05
162,56,11.03757443,83.42133404,-3.608210803,-3.05E-05
162,57,13.74472459,110.9273941,-4.524215444,-3.05E-05
162,58,13.68931914,94.04986699,-5.338275885,-3.05E-05
162,59,10.93155174,67.82605537,-4.439356281,-3.05E-05
162,60,8.061699697,33.14659796,-3.026381581,-3.05E-05
162,61,-8.206510479,151.4322519,0.662143267,-180
162,62,-11.77354705,121.2078719,4.139785087,-180
162,63,13.6961401,77.26654375,-6.502372542,-3.05E-05
162,64,-10.96501404,132.6807198,2.267709971,-180
162,65,10.81665122,50.88406126,-5.922072527,-3.05E-05
162,66,7.715648138,19.55750835,-5.133675388,-3.05E-05
162,67,-11.64259914,137.0864443,3.659582187,-180
