帧号,速度(m/s),距离(m),角度(deg),SNR(dB)
104,3.771835499,8.5,-30.73786867,24.502082
104,3.97757198,8.5,-30.73786867,19.62015932
104,4.800517907,8,-33.7489886,20.34315582
104,4.937675562,8.5,-33.7489886,16.42831694
104,5.349148525,8.5,-31.48143216,13.02720146
104,5.623463834,10,-36.86989765,20.52172759
104,5.692042662,9.5,-20.14788629,19.68654382
104,5.897779143,9,-28.54036548,15.74333
104,9.120984024,19.5,-17.45760312,31.71412242
104,9.395299333,15.5,-31.48143216,20.56894776
104,9.395299333,21.5,-16.79144711,5.113146039
104,9.806772296,18.5,-18.12620396,26.21494487
104,10.08108761,15,-32.23095264,18.98768297
104,10.14966643,19.5,-14.80650691,42.12126225
104,10.21824526,21.5,-11.53695903,15.95296003
104,10.49256057,16,-29.2675776,23.71546439
104,11.04119119,17.5,-27.81813928,24.88570033
104,11.3155065,18.5,-25.67928862,17.70457129
104,12.89281952,30,-18.12620396,7.169844863
104,12.96139835,31.5,-17.45760312,13.33302528
104,13.02997718,29.5,-16.12762021,6.545413809
104,13.02997718,30.5,-14.80650691,8.687167855
104,13.02997718,33,-16.12762021,30.49602157
104,13.098556,34.5,-15.46600995,9.18945951
104,13.23571366,33,-14.14900451,19.05113841
105,-11.79339832,186.0595391,2.969192712,5.363016807
105,-11.01581162,190.0608195,1.428872796,7.164011007
105,-11.01581162,192.0614597,1.428872796,17.37697181
105,-11.01581162,194.0620999,1.428872796,16.40426697
105,-11.01581162,196.0627401,1.518620524,3.847830311
105,-8.294258162,194.0620999,0.534790795,9.298227196
105,-8.294258162,196.0627401,0.534790795,14.46340808
105,-8.294258162,198.0633803,0.534790795,8.51500371
105,0.548630618,6,-11.53695903,13.40780361
105,1.097261236,6,-9.594068227,34.4360329
105,2.057364817,6,-11.53695903,22.30849839
105,2.194522472,6,-10.88794813,22.77591354
105,2.674574263,6,-12.83958841,19.94506852
105,2.74315309,8.5,-34.51810784,18.96793126
105,3.223204881,6.5,-16.79144711,24.96343331
105,3.223204881,8,-33.7489886,27.03135068
105,3.634677844,8.5,-30,30.2349531
105,4.183308462,7.5,-18.79736882,28.64634909
105,4.389044944,7.5,-15.46600995,31.38088307
105,4.389044944,9,-40.12403459,15.24888004
105,5.006254389,8.5,-34.51810784,15.37424691
105,5.074833216,9,-28.54036548,18.11649619
105,5.143412044,8.5,-32.23095264,16.64269333
105,5.48630618,8.5,-33.7489886,16.56869934
105,6.034936798,9,-30,12.21838177
105,6.377830934,10.5,-34.51810784,13.2923611
105,6.514988588,10.5,-33.7489886,14.10338115
105,6.652146243,9.5,-27.10068535,13.06511389
105,6.926461552,10,-27.81813928,14.99716347
105,9.875351124,20,-18.12620396,13.64156496
105,10.21824526,20.5,-14.80650691,34.42921952
105,10.28682409,22.5,-10.88794813,14.41909279
105,10.69829705,16,-30,14.77285373
105,10.90403353,17,-27.81813928,17.85862567
105,11.45266415,18.5,-26.38779996,18.21479234
105,11.65840063,19.5,-24.27465219,7.299924404
105,12.96139835,32.5,-16.79144711,15.43976346
105,13.02997718,31,-16.12762021,17.78181473
105,13.02997718,33,-16.79144711,14.99400411
105,13.02997718,36,-16.12762021,6.022228419
105,13.098556,34.5,-16.12762021,9.600586006
105,13.23571366,35,-12.83958841,14.89308302
106,-11.7069998,184.0588988,2.512347074,4.157807813
106,-11.7069998,186.0595391,2.512347074,4.149603543
106,-11.05901088,190.0608195,1.518620524,19.50398157
106,-11.05901088,192.0614597,1.518620524,23.54401513
106,-11.05901088,194.0620999,1.518620524,15.97271978
106,1.783049508,6,-11.53695903,33.96739225
106,2.537416608,6,-10.88794813,35.25503009
106,2.74315309,6,-10.88794813,31.71410848
106,3.086047226,6,-11.53695903,27.40440101
106,3.428941362,6.5,-12.83958841,24.68867022
106,3.771835499,6.5,-14.80650691,25.23386933
106,4.114729635,9.5,-33.7489886,7.410690061
106,4.251887289,8.5,-30.73786867,22.86104089
106,4.251887289,10.5,-30.73786867,12.21174182
106,4.320466117,7,-18.79736882,19.67114569
106,4.663360253,9.5,-37.66988696,24.81692998
106,4.869096735,8,-18.12620396,30.47502341
106,5.074833216,9.5,-29.2675776,29.10294148
106,6.034936798,9.5,-27.10068535,24.80761699
106,6.995040379,10,-25.67928862,18.82029327
106,6.995040379,11.5,-32.98670708,16.31338727
106,7.337934515,10.5,-22.88538048,14.95410774
106,9.601035815,21.5,-14.80650691,10.74424162
106,10.21824526,21.5,-14.80650691,32.51938489
106,10.76687588,18,-31.48143216,27.86861211
106,11.04119119,17.5,-27.81813928,25.49919665
106,11.38408532,18.5,-25.67928862,13.34569832
106,11.79555829,19.5,-24.27465219,21.7752235
106,11.93271594,20.5,-22.19610086,11.07385376
106,13.16713483,33,-14.14900451,15.27370273
106,13.16713483,35.5,-14.80650691,12.01059404
106,13.23571366,37,-14.80650691,25.90123433
106,13.37287131,36,-12.83958841,7.584357824
107,-11.75019906,184.0588988,2.785989899,4.020092284
107,-11.10221014,190.0608195,1.698365175,12.18275138
107,-11.10221014,192.0614597,1.698365175,10.94954523
107,-10.54061975,208.0665813,1.160068239,7.898106862
107,-8.207859639,194.0620999,0.534790795,9.444211984
107,-8.207859639,196.0627401,0.623993699,8.406302207
107,2.400258954,7,-10.24034832,22.54590415
107,2.400258954,12,-53.13010235,4.518340155
107,2.674574263,12,-52.08179734,10.83384851
107,2.811731917,10,-54.20463246,13.97404141
107,2.880310744,6.5,-10.88794813,25.26408815
107,3.703256671,10.5,-50.05549481,33.10342333
107,3.908993153,6.5,-11.53695903,20.7013087
107,4.183308462,10.5,-48.11140308,20.76683766
107,4.389044944,7,-13.49339882,15.86686359
107,4.73193908,10.5,-37.66988696,9.306966479
107,5.143412044,9,-32.98670708,28.41299647
107,5.280569698,8,-6.379370208,34.09420816
107,5.48630618,8.5,-14.14900451,32.18975805
107,5.966357971,11,-28.54036548,11.3579983
107,6.034936798,10,-27.10068535,19.41389692
107,6.309252107,10,-34.51810784,16.06041863
107,6.857882725,10,-32.23095264,16.10291347
107,7.543670997,12,-30.73786867,15.46642172
107,7.749407479,11,-23.57817848,26.40167329
107,7.955143961,11.5,-21.51018827,18.86021168
107,9.189562851,22,-12.83958841,9.525576878
107,9.806772296,22.5,-15.46600995,9.63881713
107,10.21824526,21.5,-14.80650691,24.86082053
107,10.42398174,23.5,-13.49339882,22.6385972
107,10.5611394,24.5,-10.88794813,3.283776686
107,11.10977001,19,-30,29.62794484
107,11.52124298,18.5,-25.67928862,19.87687644
107,12.00129477,21,-22.88538048,28.61919239
107,13.16713483,34,-14.14900451,6.538339384
107,13.16713483,35.5,-15.46600995,13.09374189
107,13.23571366,38.5,-14.14900451,29.25657925
107,13.30429249,35.5,-13.49339882,12.35281579
108,-11.01581162,188.0601793,1.60844964,15.87929839
108,-11.01581162,190.0608195,1.518620524,18.65712248
108,-11.01581162,192.0614597,1.518620524,10.15475519
108,-8.2510589,194.0620999,0.534790795,4.488705848
108,-8.164660378,210.0672215,0.356464735,6.280646963
108,-8.164660378,212.0678617,0.356464735,6.553223527
108,0.685788272,15.5,-52.08179734,13.07078279
108,1.23441889,10,-50.05549481,28.27547283
108,1.508734199,10,-52.08179734,31.2793795
108,1.920207163,10,-51.05755873,25.69211519
108,2.400258954,10,-53.13010235,13.8903182
108,3.223204881,12,-53.13010235,4.29632643
108,3.703256671,7,-9.594068227,27.83129778
108,4.526202598,10.5,-51.05755873,24.33850793
108,4.800517907,7,-12.18747414,16.18501121
108,4.869096735,14,-50.05549481,11.76248452
108,5.211990871,8,-7.020370749,19.52251181
108,5.280569698,11,-46.23825731,35.18269023
108,5.48630618,9,-18.12620396,14.31433519
108,5.760621489,11,-36.07819997,24.01345692
108,5.897779143,9,-13.49339882,41.56829555
108,6.309252107,10,-27.10068535,35.02782451
108,6.789303897,10.5,-24.97496537,23.13439345
108,7.132198034,10.5,-31.48143216,15.67675365
108,7.680828652,12.5,-31.48143216,24.74495108
108,8.503774579,12,-20.14788629,31.79709606
108,10.21824526,23,-14.80650691,22.42664121
108,10.35540291,22.5,-12.18747414,27.89428108
108,10.49256057,24.5,-12.18747414,8.585357998
108,10.49256057,25.5,-10.24034832,9.51633322
108,11.24692767,20,-24.27465219,26.02254841
108,11.65840063,19.5,-24.97496537,28.75683013
108,11.86413711,20.5,-22.88538048,6.663392689
108,12.0698736,22,-22.19610086,13.17760947
108,12.20703125,23,-20.14788629,8.212145673
108,13.098556,36,-15.46600995,13.72173971
108,13.23571366,36,-12.18747414,19.43692957
108,13.30429249,40,-14.14900451,27.90486183
109,-11.75019906,180.0576184,3.153070288,6.026492334
109,-11.75019906,182.0582586,2.603414232,6.537130505
109,-11.75019906,184.0588988,2.694626593,4.567035602
109,-11.01581162,186.0595391,1.60844964,16.20264988
109,-11.01581162,188.0601793,1.518620524,24.65241146
109,-11.01581162,190.0608195,1.518620524,21.08360282
109,-11.01581162,192.0614597,1.518620524,4.380637824
109,-8.207859639,194.0620999,0.802502889,4.54948139
109,-5.443106919,222.0710627,0.178213643,8.743154909
109,-5.443106919,224.0717029,0.267332166,7.395505787
109,2.263101299,10,-52.08179734,16.5734681
109,2.537416608,11.5,-52.08179734,27.44581445
109,2.811731917,10.5,-49.07393669,31.67012454
109,3.291783708,10,-50.05549481,31.36331812
109,3.703256671,12,-53.13010235,50.67742219
109,4.046150808,13,-54.20463246,10.37558219
109,4.114729635,7.5,-10.24034832,29.74100796
109,4.183308462,14,-53.13010235,10.83802117
109,4.320466117,7,-9.594068227,23.4270254
109,4.457623771,10.5,-52.08179734,35.37663778
109,4.663360253,10.5,-51.05755873,21.52190322
109,5.211990871,7.5,-7.662255661,17.71507887
109,5.349148525,11,-51.05755873,15.17223854
109,5.623463834,8.5,-6.379370208,20.68707328
109,5.760621489,12.5,-31.48143216,7.78740771
109,5.829200316,9.5,-17.45760312,21.1730356
109,5.829200316,11,-48.11140308,13.18353238
109,5.897779143,8.5,-12.83958841,17.51326184
109,6.172094452,9.5,-12.83958841,41.36112964
109,6.309252107,11,-45.32539044,22.20167695
109,6.309252107,12,-41.8103149,22.09780215
109,6.583567416,11.5,-33.7489886,33.73259144
109,7.063619206,10.5,-27.10068535,33.36446339
109,7.269355688,11,-31.48143216,37.00920542
109,7.680828652,11.5,-30.73786867,34.95926746
109,8.092301615,12,-28.54036548,10.99696832
109,8.503774579,13.5,-26.38779996,20.72636482
109,8.640932233,12.5,-20.82749693,23.63819297
109,8.778089888,12.5,-20.82749693,15.34836095
109,10.08108761,24.5,-20.82749693,12.53461379
109,10.28682409,24,-14.14900451,19.14260687
109,10.42398174,23.5,-12.18747414,21.30492166
109,10.42398174,25,-12.83958841,17.7820036
109,10.5611394,27,-9.594068227,6.024487158
109,11.86413711,21,-22.88538048,23.71329247
109,12.3441889,23,-20.14788629,15.43518875
109,13.30429249,37,-12.18747414,17.10470234
109,13.30429249,41,-14.14900451,20.49668184
109,13.44145014,39.5,-11.53695903,7.270453165
110,-11.7069998,178.0569782,2.694626593,6.501250518
110,-11.7069998,180.0576184,2.603414232,10.67611981
110,-11.7069998,182.0582586,2.603414232,6.601614203
110,-10.97261236,186.0595391,1.698365175,9.39206584
110,-10.97261236,188.0601793,1.788372201,11.92571743
110,-10.97261236,190.0608195,1.788372201,4.817756987
110,-8.207859639,192.0614597,0.802502889,4.42003902
110,-8.164660378,208.0665813,0.267332166,9.69765683
