帧号,速度(m/s),距离(m),角度(deg),SNR(dB)
212,-5.443106919,140.0448143,2.058993642,8.712557653
212,-5.443106919,142.0454545,2.058993642,21.93747343
212,-5.443106919,144.0460948,2.149418304,22.44907944
212,-5.443106919,146.046735,2.149418304,9.905476379
212,-2.764752721,192.0614597,0.178213643,8.946282343
212,-2.764752721,194.0620999,0.178213643,12.44138159
212,-2.764752721,196.0627401,0.178213643,4.380601095
212,5.143412044,20.5,-13.49339882,15.6677852
212,5.143412044,21.5,-14.80650691,23.95839121
212,5.211990871,23,-14.14900451,26.0259762
212,5.280569698,24,-10.24034832,9.608419553
212,5.280569698,31.5,-8.949018065,20.86191525
212,5.280569698,34,-9.594068227,8.702891605
212,5.349148525,40.5,-7.020370749,8.284705935
212,5.417727353,42.5,-7.662255661,11.43139297
212,8.092301615,66.5,-7.662255661,10.75900208
212,8.298038097,90.5,-5.739170477,4.678863163
212,8.366616924,96.5,-5.099688914,4.655679856
213,-8.2510589,108.0345711,4.654658672,25.49068383
213,-8.2510589,110.0352113,4.558913533,17.30907378
213,-8.207859639,104.0332907,4.654658672,9.423924571
213,-8.207859639,106.0339309,4.654658672,23.73651912
213,-8.207859639,116.0371319,3.896335726,8.420275542
213,-8.207859639,118.0377721,3.896335726,15.57272483
213,-8.207859639,120.0384123,3.990226306,13.53034611
213,-8.207859639,122.0390525,3.523047781,8.909468782
213,-5.48630618,142.0454545,2.149418304,7.842504636
213,-5.48630618,144.0460948,2.149418304,6.979765589
213,-2.764752721,182.0582586,0.623993699,7.55412308
213,-2.764752721,184.0588988,0.623993699,6.043209655
213,5.074833216,22.5,-14.80650691,34.87525659
213,5.349148525,32,-8.949018065,18.0640424
213,5.349148525,34,-9.594068227,11.46182562
213,5.417727353,41,-7.662255661,10.39146064
213,5.417727353,43,-7.662255661,12.69362502
213,8.092301615,66,-7.662255661,6.752935924
214,-8.2510589,104.0332907,4.654658672,14.87796114
214,-8.2510589,106.0339309,4.750701252,21.88412792
214,-8.2510589,108.0345711,4.750701252,15.75492311
214,-8.2510589,112.0358515,4.943713761,4.576640859
214,-8.2510589,118.0377721,3.523047781,4.742507171
214,-8.2510589,120.0384123,3.523047781,7.507604361
214,-8.207859639,130.0416133,3.430259692,9.318098545
214,-8.207859639,132.0422535,3.430259692,12.01137613
214,-8.207859639,134.0428937,3.430259692,5.542240954
214,-5.443106919,142.0454545,1.968681243,6.473629987
214,-5.443106919,144.0460948,2.058993642,3.817852326
214,-5.443106919,164.0524968,1.60844964,5.41705901
214,-5.443106919,166.053137,1.518620524,7.877376309
214,-2.678354198,182.0582586,0.534790795,10.2537619
214,-2.678354198,184.0588988,0.534790795,8.109244198
214,-2.678354198,200.0640205,0.267332166,7.760827302
214,-2.678354198,202.0646607,0.267332166,8.130028523
214,5.074833216,22,-13.49339882,20.40919727
