帧号,车辆ID,速度(m/s),距离(m),角度(deg),Yaw(deg)
219,227,8.105752106,72.93352851,-6.890501434,-3.05E-05
219,229,-5.526882979,150.7763709,1.995429767,-180
219,230,-8.163016254,115.7090445,4.336887602,-180
219,231,-2.73643949,193.8889209,0.517146494,-180
219,232,-8.208392769,129.7189171,3.867739897,-180
219,233,-5.447678305,162.3714786,1.852882548,-180
219,234,-2.639607238,201.7033553,0.497110581,-180
220,218,5.414708413,47.4005118,-6.359029947,-3.05E-05
220,219,8.275843944,99.32461729,-5.054022028,-3.05E-05
220,220,8.16269325,88.77239352,-5.656639446,-3.05E-05
220,221,5.395890811,38.44952516,-7.847833245,-3.05E-05
220,223,-5.472945248,141.0600277,2.132938265,-180
220,224,5.219870283,27.37509743,-11.05668935,-3.05E-05
220,225,-8.280388953,104.4247988,4.806584262,-180
220,226,-2.658217697,183.1323273,0.547522885,-180
220,227,8.173816701,73.75079979,-6.813780101,-3.05E-05
220,229,-5.525907805,150.2237794,2.002772853,-180
220,230,-8.175310662,114.8914952,4.367807903,-180
220,231,-2.723975933,193.6165193,0.517874093,-180
220,232,-8.221862567,128.8967082,3.892449417,-180
220,233,-5.513755034,161.8200987,1.859198206,-180
220,234,-2.730036624,201.4303447,0.497784362,-180
221,218,5.372234735,47.93762957,-6.287491076,-3.05E-05
221,219,8.257475282,100.1503345,-5.012245675,-3.05E-05
221,220,8.165442148,89.58886896,-5.604921359,-3.05E-05
221,221,5.305706666,38.97990398,-7.740392953,-3.05E-05
221,223,-5.445083411,140.5155197,2.141207402,-180
221,224,5.224058772,27.89696131,-10.84732164,-3.05E-05
221,225,-8.25390056,103.5993698,4.844971945,-180
221,226,-2.649716012,182.867351,0.548316275,-180
221,227,8.226714662,74.57336898,-6.738271423,-3.05E-05
221,229,-5.523282147,149.6714461,2.010166723,-180
221,230,-8.20502725,114.0709609,4.399288049,-180
221,231,-2.766703001,193.3398488,0.518615195,-180
221,232,-8.188111897,128.077872,3.917373618,-180
221,233,-5.505854098,161.2695089,1.86554793,-180
221,234,-2.729159839,201.1574336,0.498459725,-180
222,218,5.369071564,48.47444459,-6.217586062,-3.05E-05
222,219,8.247695098,100.9750518,-4.971204517,-3.05E-05
222,220,8.257773126,90.41459279,-5.553571978,-3.05E-05
222,221,5.342827424,39.51400663,-7.635139567,-3.05E-05
222,223,-5.50016387,139.9654993,2.149625615,-180
222,224,5.183344459,28.41478284,-10.64731403,-3.05E-05
222,225,-8.207853538,102.7785539,4.883758742,-180
222,226,-2.77153737,182.5902007,0.549148579,-180
222,227,8.148553643,75.38812033,-6.665115961,-3.05E-05
222,229,-5.472327041,149.1242075,2.017546443,-180
222,230,-8.214934659,113.2494364,4.431264542,-180
222,231,-2.629478799,193.0769098,0.519321483,-180
222,232,-8.191933093,127.2586581,3.942631037,-180
222,233,-5.529122274,160.7165935,1.871968279,-180
222,234,-2.692785336,200.8881447,0.499127923,-180
223,218,5.347636644,49.00910466,-6.149492785,-3.05E-05
223,219,8.261325592,101.8011441,-4.930764067,-3.05E-05
223,220,8.168008499,91.23133318,-5.503699935,-3.05E-05
223,221,5.29557977,40.04337829,-7.533613629,-3.05E-05
223,223,-5.533547509,139.4121372,2.158162054,-180
223,224,5.28096734,28.94239827,-10.4510124,-3.05E-05
223,225,-8.245482322,101.9539645,4.923355008,-180
223,226,-2.772230696,182.3129824,0.54998362,-180
223,227,8.169689313,76.20498749,-6.593351524,-3.05E-05
223,229,-5.54518602,148.5696872,2.025079849,-180
223,230,-8.203972576,112.4290128,4.463665967,-180
223,231,-2.741441418,192.8027639,0.520059925,-180
223,232,-8.292426181,126.4293935,3.968532496,-180
223,233,-5.459265779,160.1706619,1.878351048,-180
223,234,-2.608949806,200.6272583,0.499776982,-180
224,218,5.393733886,49.54838372,-6.082308432,-3.05E-05
224,219,8.224719627,102.6235742,-4.891152034,-3.05E-05
224,220,8.227359461,92.05401559,-5.454363826,-3.05E-05
224,221,5.355408325,40.57874816,-7.433654678,-3.05E-05
224,223,-5.515104529,138.8606263,2.166737677,-180
224,224,5.201376492,29.46207351,-10.26465276,-3.05E-05
224,225,-8.241618974,101.12976,4.963580474,-180
224,226,-2.675688333,182.0454084,0.550792022,-180
224,227,8.122368466,77.01712702,-6.52352152,-3.05E-05
224,229,-5.495943087,148.0200864,2.032602151,-180
224,230,-8.200776067,111.6089054,4.496532445,-180
224,231,-2.723036829,192.5304637,0.520795478,-180
224,232,-8.260383403,125.6033331,3.994674733,-180
224,233,-5.437626126,159.6268993,1.88475188,-180
224,234,-2.763151273,200.3509406,0.500466276,-180
225,218,5.398589742,50.08815416,-6.016519669,-3.05E-05
225,219,8.217581529,103.4452931,-4.852205583,-3.05E-05
225,220,8.246875949,92.87864237,-5.405792176,-3.05E-05
225,221,5.328406906,41.11142128,-7.336804723,-3.05E-05
225,223,-5.453360875,138.3152802,2.175284736,-180
225,224,5.301421136,29.99177727,-10.08145021,-3.05E-05
225,225,-8.208364745,100.3088688,5.004303792,-180
225,226,-2.680827098,181.7773242,0.551604352,-180
225,227,8.22156806,77.83919098,-6.454331755,-3.05E-05
225,229,-5.507761048,147.4693047,2.040196901,-180
225,230,-8.256019992,110.783271,4.530113491,-180
225,231,-2.676581408,192.2627917,0.52152056,-180
225,232,-8.27630876,124.7756826,4.021215287,-180
225,233,-5.550841911,159.0718146,1.89133115,-180
225,234,-2.783562386,200.07258,0.501162592,-180
226,218,5.42226345,50.63028889,-5.951862478,-3.05E-05
226,219,8.225581856,104.2678158,-4.813837996,-3.05E-05
226,220,8.196666988,93.69825686,-5.358366684,-3.05E-05
226,221,5.379944331,41.64925564,-7.24155037,-3.05E-05
226,223,-5.475323581,137.7677461,2.183934211,-180
226,224,5.307951259,30.52214847,-9.904486629,-3.05E-05
226,225,-8.269273521,99.48190678,5.046010442,-180
226,226,-2.670912372,181.5102241,0.552416086,-180
226,227,8.241840428,78.66329642,-6.386430872,-3.05E-05
226,229,-5.519999972,146.9173041,2.047865629,-180
226,230,-8.266991154,109.9565429,4.56424593,-180
226,231,-2.72080716,191.9907212,0.522259628,-180
226,232,-8.283012989,123.9473625,4.048133071,-180
226,233,-5.543777599,158.5174214,1.897948241,-180
226,234,-2.751909633,199.7973992,0.50185286,-180
227,218,5.443473508,51.17455498,-5.888336528,-3.05E-05
227,219,8.20832839,105.0886127,-4.776151732,-3.05E-05
227,220,8.182452988,94.51646028,-5.311846812,-3.05E-05
227,221,5.333229367,42.18242534,-7.149538786,-3.05E-05
227,223,-5.533352674,137.2144076,2.192745559,-180
227,224,5.253812551,31.04713893,-9.735361985,-3.05E-05
227,225,-8.179570479,98.66390175,5.087955884,-180
227,226,-2.769928611,181.2332371,0.553260395,-180
227,227,8.225641025,79.48576785,-6.320077127,-3.05E-05
227,229,-5.417968541,146.3755008,2.055448973,-180
227,230,-8.23299987,109.1332096,4.598753808,-180
227,231,-2.659507677,191.7247733,0.522984092,-180
227,232,-8.278259465,123.1195173,4.075398217,-180
227,233,-5.543032525,157.9631254,1.904610631,-180
227,234,-2.711021468,199.526298,0.502534757,-180
228,218,5.41630766,51.71609297,-5.826463052,-3.05E-05
228,219,8.220729588,105.9106498,-4.738996007,-3.05E-05
228,220,8.199030333,95.3363103,-5.266037658,-3.05E-05
228,221,5.396792664,42.72194706,-7.058786977,-3.05E-05
228,223,-5.432913594,136.6711056,2.201466559,-180
228,224,5.247237531,31.57149289,-9.572138042,-3.05E-05
228,225,-8.170867874,97.84677357,5.130559368,-180
228,226,-2.765919943,180.9566396,0.554106096,-180
228,227,8.183881583,80.30407546,-6.255416371,-3.05E-05
228,229,-5.468348262,145.8286631,2.063159955,-180
228,230,-8.151096181,108.3180603,4.633437159,-180
228,231,-2.68950275,191.4558144,0.523718805,-180
228,232,-8.195047366,122.2999845,4.102754097,-180
228,233,-5.509438227,157.4121797,1.911279276,-180
228,234,-2.659504557,199.2603362,0.50320553,-180
229,218,5.368716509,52.25289214,-5.766403237,-3.05E-05
229,219,8.202583407,106.7308699,-4.702494803,-3.05E-05
229,220,8.174951194,96.15375951,-5.221143675,-3.05E-05
229,221,5.425327783,43.26433759,-6.969851382,-3.05E-05
229,223,-5.43926234,136.1271805,2.210267344,-180
229,224,5.264131662,32.09756361,-9.4138138,-3.05E-05
229,225,-8.26702744,97.02002064,5.174398001,-180
229,226,-2.679725178,180.6886724,0.554927879,-180
229,227,8.173040645,81.12129449,-6.1921513,-3.05E-05
229,229,-5.487501736,145.279906,2.070956394,-180
229,230,-8.211093114,107.4969166,4.668909149,-180
229,231,-2.768772558,191.1789425,0.524477294,-180
229,232,-8.27168292,121.4727949,4.130740837,-180
229,233,-5.496228758,156.8625501,1.917978692,-180
